DR_NO;Date Rptd;AREA NAME;Crm Cd Desc
201604649;01/15/2020 12:00:00 AM;Foothill   ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201610153;06/18/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
231614931;12/13/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221609678;06/20/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221605184;02/07/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221614306;11/15/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221606221;03/08/2022 12:00:00 AM;Foothill   ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
221607980;04/23/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
211605910;03/08/2021 12:00:00 AM;Foothill   ;BURGLARY                                                
231605843;02/27/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221610845;07/26/2022 12:00:00 AM;Foothill   ;BURGLARY                                                
221609218;06/03/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
231606538;03/23/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221607831;05/01/2022 12:00:00 AM;Foothill   ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
221613491;10/20/2022 12:00:00 AM;Foothill   ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
201608553;04/28/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201615829;12/19/2020 12:00:00 AM;Foothill   ;ROBBERY                                                 
201610419;06/25/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201614562;11/07/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201609346;05/23/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201607607;03/30/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201614670;11/11/2020 12:00:00 AM;Foothill   ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201606558;03/02/2020 12:00:00 AM;Foothill   ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201606018;02/19/2020 12:00:00 AM;Foothill   ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
201600548;02/08/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201612851;09/14/2020 12:00:00 AM;Foothill   ;TRESPASSING                                             
201608314;04/20/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
201608889;05/09/2020 12:00:00 AM;Foothill   ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
201614406;11/03/2020 12:00:00 AM;Foothill   ;ATTEMPTED ROBBERY                                       
201610642;07/01/2020 12:00:00 AM;Foothill   ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201609969;06/13/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201611838;08/10/2020 12:00:00 AM;Foothill   ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201605951;02/17/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201611517;07/28/2020 12:00:00 AM;Foothill   ;OTHER ASSAULT                                           
201612550;09/03/2020 12:00:00 AM;Foothill   ;CONTEMPT OF COURT                                       
201613511;10/05/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201613106;09/22/2020 12:00:00 AM;Foothill   ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
201609397;05/25/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201614410;11/03/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201608902;05/10/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201610480;06/27/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201609566;05/30/2020 12:00:00 AM;Foothill   ;ROBBERY                                                 
201607333;03/22/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201609877;06/11/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201607929;04/09/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201615398;12/05/2020 12:00:00 AM;Foothill   ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
201612890;09/14/2020 12:00:00 AM;Foothill   ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
201606012;02/18/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201613399;09/30/2020 12:00:00 AM;Foothill   ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201606565;03/03/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201609908;06/12/2020 12:00:00 AM;Foothill   ;DISCHARGE FIREARMS/SHOTS FIRED                          
201613434;10/02/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201615019;11/22/2020 12:00:00 AM;Foothill   ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201607262;03/19/2020 12:00:00 AM;Foothill   ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201600625;04/07/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201614109;10/22/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201604833;01/20/2020 12:00:00 AM;Foothill   ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
201605680;02/09/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER            
201607334;03/22/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201611103;07/15/2020 12:00:00 AM;Foothill   ;OTHER MISCELLANEOUS CRIME                               
201609797;06/08/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201607268;03/19/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201607367;03/23/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201613278;09/27/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201610897;07/09/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201609625;06/01/2020 12:00:00 AM;Foothill   ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201600580;02/22/2020 12:00:00 AM;Foothill   ;ROBBERY                                                 
201613550;10/05/2020 12:00:00 AM;Foothill   ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
201610933;07/10/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201612382;08/30/2020 12:00:00 AM;Foothill   ;ATTEMPTED ROBBERY                                       
201609767;06/07/2020 12:00:00 AM;Foothill   ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
201615647;12/13/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201609785;06/08/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201607355;03/22/2020 12:00:00 AM;Foothill   ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201606166;02/22/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201611096;07/15/2020 12:00:00 AM;Foothill   ;THEFT PLAIN - PETTY ($950 & UNDER)                      
211610869;08/20/2021 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
201608722;05/03/2020 12:00:00 AM;Foothill   ;ROBBERY                                                 
201605225;01/27/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201607024;03/12/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201606631;03/03/2020 12:00:00 AM;Foothill   ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201606120;02/20/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201604694;01/17/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201604198;01/05/2020 12:00:00 AM;Foothill   ;THEFT, PERSON                                           
201600575;02/20/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201605502;02/05/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201604484;01/13/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201610349;06/23/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201605577;02/06/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201604467;01/13/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201605312;02/02/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201609483;05/27/2020 12:00:00 AM;Foothill   ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
201608276;04/18/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201611423;07/27/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201609950;06/12/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201614956;11/22/2020 12:00:00 AM;Foothill   ;ROBBERY                                                 
201606037;02/19/2020 12:00:00 AM;Foothill   ;ROBBERY                                                 
201610051;06/15/2020 12:00:00 AM;Foothill   ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201614997;11/23/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201607812;04/06/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201610655;07/02/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201612036;08/17/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201609391;05/25/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201611775;08/07/2020 12:00:00 AM;Foothill   ;BRANDISH WEAPON                                         
201614247;10/27/2020 12:00:00 AM;Foothill   ;BRANDISH WEAPON                                         
201611984;08/15/2020 12:00:00 AM;Foothill   ;VIOLATION OF COURT ORDER                                
201605102;01/27/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201607660;04/01/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201612609;09/03/2020 12:00:00 AM;Foothill   ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
201614296;10/30/2020 12:00:00 AM;Foothill   ;BRANDISH WEAPON                                         
201606496;03/01/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201608320;04/22/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201611048;07/14/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201608056;04/07/2020 12:00:00 AM;Foothill   ;CHILD NEGLECT (SEE 300 W.I.C.)                          
201606577;03/03/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201605082;01/27/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201612434;08/30/2020 12:00:00 AM;Foothill   ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
201615361;12/05/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201611544;07/30/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201615297;12/01/2020 12:00:00 AM;Foothill   ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201610413;06/25/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201613495;10/05/2020 12:00:00 AM;Foothill   ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
201611604;08/02/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201616048;12/27/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201606865;03/09/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201611212;07/19/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201611810;08/08/2020 12:00:00 AM;Foothill   ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201609086;05/15/2020 12:00:00 AM;Foothill   ;DISCHARGE FIREARMS/SHOTS FIRED                          
201613013;09/18/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201609352;05/23/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201606271;02/25/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201605074;01/25/2020 12:00:00 AM;Foothill   ;BUNCO, GRAND THEFT                                      
201607899;04/08/2020 12:00:00 AM;Foothill   ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201608643;04/30/2020 12:00:00 AM;Foothill   ;BRANDISH WEAPON                                         
201609137;05/17/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201613392;09/30/2020 12:00:00 AM;Foothill   ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
201609760;06/07/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201612054;08/17/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201614879;11/18/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201600843;11/15/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
211611157;08/31/2021 12:00:00 AM;Foothill   ;CHILD ANNOYING (17YRS & UNDER)                          
201609181;05/18/2020 12:00:00 AM;Foothill   ;THEFT PLAIN - PETTY ($950 & UNDER)                      
211606022;03/12/2021 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201608392;04/23/2020 12:00:00 AM;Foothill   ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201605274;01/31/2020 12:00:00 AM;Foothill   ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201605062;01/24/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201609134;05/17/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201610456;06/27/2020 12:00:00 AM;Foothill   ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201608258;04/19/2020 12:00:00 AM;Foothill   ;VIOLATION OF RESTRAINING ORDER                          
201614021;10/20/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201608785;05/02/2020 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
201612360;08/28/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201607521;03/27/2020 12:00:00 AM;Foothill   ;BRANDISH WEAPON                                         
201610837;07/07/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
201609924;06/12/2020 12:00:00 AM;Foothill   ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201615805;12/18/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201608756;05/05/2020 12:00:00 AM;Foothill   ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201610804;07/06/2020 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
201611592;07/28/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
211608710;06/10/2021 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
201613462;10/03/2020 12:00:00 AM;Foothill   ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201611314;07/22/2020 12:00:00 AM;Foothill   ;TRESPASSING                                             
211604065;01/01/2021 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201604158;01/05/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201611106;07/15/2020 12:00:00 AM;Foothill   ;ATTEMPTED ROBBERY                                       
201612100;08/19/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - ATTEMPT                      
201607870;04/07/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201610636;07/01/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201610907;07/09/2020 12:00:00 AM;Foothill   ;ROBBERY                                                 
201612639;09/06/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201608475;04/26/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201604723;01/17/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201600709;07/10/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201614385;11/01/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201606298;02/25/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201611510;07/28/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201609583;05/31/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201605920;02/15/2020 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
201608115;04/15/2020 12:00:00 AM;Foothill   ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201615981;12/24/2020 12:00:00 AM;Foothill   ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201615738;12/16/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201610965;07/11/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201608371;04/23/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201612567;09/03/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201613474;10/04/2020 12:00:00 AM;Foothill   ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201610020;06/15/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201608506;04/22/2020 12:00:00 AM;Foothill   ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201609205;05/19/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201608349;04/22/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201606872;03/08/2020 12:00:00 AM;Foothill   ;BATTERY POLICE (SIMPLE)                                 
201614209;10/26/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201605642;02/08/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
201615658;12/14/2020 12:00:00 AM;Foothill   ;BURGLARY FROM VEHICLE                                   
201608742;05/03/2020 12:00:00 AM;Foothill   ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201614397;11/02/2020 12:00:00 AM;Foothill   ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
201607597;03/30/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201611909;08/12/2020 12:00:00 AM;Foothill   ;BUNCO, PETTY THEFT                                      
201611535;07/29/2020 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
201607376;03/23/2020 12:00:00 AM;Foothill   ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201604206;01/06/2020 12:00:00 AM;Foothill   ;BRANDISH WEAPON                                         
201614044;10/20/2020 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
201605219;01/30/2020 12:00:00 AM;Foothill   ;RESISTING ARREST                                        
201607581;03/30/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201609197;05/19/2020 12:00:00 AM;Foothill   ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201606514;03/02/2020 12:00:00 AM;Foothill   ;BURGLARY                                                
201615798;12/18/2020 12:00:00 AM;Foothill   ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201608846;05/07/2020 12:00:00 AM;Foothill   ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201615002;11/23/2020 12:00:00 AM;Foothill   ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201606393;02/27/2020 12:00:00 AM;Foothill   ;VIOLATION OF RESTRAINING ORDER                          
